file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,44,css,a2623b7f,Suchit Bhayani,2025-04-08,13:37:37,-07:00,2025-04-08T13:37:37-07:00,0,0
style.css,45,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,5
style.css,46,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,13
style.css,47,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,31
style.css,48,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,8
style.css,49,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,50,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,51,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,14
style.css,52,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,13
style.css,53,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,30
style.css,54,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,19
style.css,55,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,56,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,57,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,7
style.css,58,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,13
style.css,59,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,23
style.css,60,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,61,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,62,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,63,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,13
style.css,64,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,65,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,10
style.css,66,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,13
style.css,67,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,59
style.css,68,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,15
style.css,69,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,70,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,0
style.css,71,css,60a6884c,suchitbhayani,2025-05-15,22:41:18,-07:00,2025-05-15T22:41:18-07:00,0,15
style.css,72,css,60a6884c,suchitbhayani,2025-05-15,22:41:18,-07:00,2025-05-15T22:41:18-07:00,0,15
style.css,73,css,60a6884c,suchitbhayani,2025-05-15,22:41:18,-07:00,2025-05-15T22:41:18-07:00,0,16
style.css,74,css,60a6884c,suchitbhayani,2025-05-15,22:41:18,-07:00,2025-05-15T22:41:18-07:00,0,14
style.css,75,css,60a6884c,suchitbhayani,2025-05-15,22:41:18,-07:00,2025-05-15T22:41:18-07:00,0,14
style.css,76,css,60a6884c,suchitbhayani,2025-05-15,22:41:18,-07:00,2025-05-15T22:41:18-07:00,0,0
style.css,77,css,60a6884c,suchitbhayani,2025-05-15,22:41:18,-07:00,2025-05-15T22:41:18-07:00,0,0
style.css,78,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,8
style.css,79,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,13
style.css,80,css,93ddf43c,Suchit Bhayani,2025-04-08,16:29:18,-07:00,2025-04-08T16:29:18-07:00,0,27
